ID	English	Hebrew	Arabic
140	alphabetical (adj)	אלפביתי	أبجدي
141	already	כבר	بالفعل
142	alright	בסדר	حسناً
143	also	גם	أيضاً, ג.נ
144	alter	לשנות	يغير, يبدل
145	alternative	חלופה, אלטרנטיבה	بديل
146	although	למרות ש-	على الرغم من
147	aluminum	אלומיניום	ألومنيوم
148	always	תמיד	دائماً
149	am	פועל עזר בהווה	فعل مساعد بالحاضر
150	amaze	להדהים	يذهل
151	amaze (v)	להדהים	يذهل, يبهر
152	amazed	המום, מנדהל	مذهول
153	amazed (adj)	נדהם, מופתע	مندهش, مذهول
154	amazing	מדהים	مدهش
155	amazing (adj)	מדהים	مذهل
156	amazingly (adv)	באופן מדהים	بشكل مذهل
157	Amazon rain forest	יער הגשם של האמזונס	غابات الأمازون المطيرة
158	ambulance (n)	אמבולנס	سيارة إسعاف
159	America (U.S.A.)	אמריקה	أمريكا
160	American	אמריקני	أمريكي
161	Americans	אמריקנים	أمريكيون
162	Amharic	אמהרית	اللغة الأمهرية
163	among	בין	بين, من
164	among other things	בין היתר	من بين أشياء أخرى
165	amount	כמות	كمية
166	Amsterdam	אמסטרדם	أمستردام
167	amusement park	פארק שעשועים	مدينة الملاهي
168	amusement park (n)	פארק שעשועים	مدينة الملاهي
169	amusing	משעשע	مسلّ, مرح
170	analyze	לנתח	يحلل
171	ancient	עתיק	قديم
172	ancient (adj)	עתיק	قديم
173	and	-ו	-و
174	and so on	וכן הלאה	وهكذا
175	angel (n)	מלאך	ملاك
176	Angora	אנגורה	أنغورا
177	angrily (adv)	בכעס	بغضب
178	angry (adj)	כועס	غاضب
179	angry (with / about)	כועס (על)	غاضب (من / على)
180	animal (n)	חיה, בעל חיים	حيوان
181	animal lovers	חובבי בעלי חיים	هواة الحيوانات
182	announce	להכריז, להודיע	يعلن
183	announce (v)	להכריז, להודיע	يعلن
184	another	עוד, אחר	آخر
185	answer (n)	תשובה	إجابة
186	answer (v)	לענות	يجيب
187	ant	נמלה	نملة
188	Antarctic	אנטארקטיקה	القطب الجنوبي
189	anticipate	לצפות	يتوقع
190	antique	עתיק מאוד	قطعة أثرية
191	any	כלשהו	أي
192	any of	כל אחד מ-	أي من
193	anybody	מישהו	أي شخص
194	anymore	עוד, כבר לא	بعد الآن
195	anyone	כל אחד	أي شخص
196	anything	כל דבר, שום דבר	أي شيء, لا شيء
197	anything else	משהו נוסף	أي شيء آخر
198	Anything else?	עוד משהו?	هل شيئاً آخر؟
199	Anything to drink?	משהו לשתות?	أي شيء للشرب؟
200	anywhere	בכל מקום	في كل مكان
201	apartment	דירה	شقة
202	apartment (n)	דירה	شقة
203	apologize	להתנצל	يعتذر
204	apology (for)	התנצלות (על)	إعتذار (عن)
205	appear	להופיע	يظهر
206	appear (v)	להופיע	يظهر
207	appearance	מראה חיצוני	مظهر
208	apple	תפוח	تفاحة
209	apples	תפוחים	تفاحات
210	appointment	פגישה, תור	موعد
211	appreciate	להעריך	يقدر
212	approximately	בקירוב, בערך	تقريباً
213	April	אפריל	نيسان, أبريل
214	Aqaba	עקבה	العقبة
215	aquarium	אקווריום	حوض الأسماك
216	aquarium (n)	אקווריום	حوض الأسماك
217	Arabic	ערבית, הערבית	اللغة العربية
218	Arad	ערד	عراد
219	archeological (adj)	ארכיאולוגי	أثري
220	archeologist (n)	ארכיאולוג	عالم آثار
221	archeology (n)	ארכיאולוגיה	علم الآثار
222	architecture	אדריכלות	الهندسة المعمارية
223	Arctic	הארקטי	القطب الشمالي
224	are	פועל עזר בהווה	فعل مساعد بالحاضر
225	are invited	מוזמנים	مدعوون
226	area	שטח	منطقة
227	area (n)	אזור	منطقة
228	aren't (past tense)	פועל עזר בהווה (שלילי)	فعل مساعد بالحاضر (النفي)
229	argue	להתווכח	يتجادل
230	argument	ויכוח	جدل, نقاش
231	ark (n)	תיבה	سفينة
232	arm (n)	זרוע	ذراع
233	arm in arm	זרוע בזרוע	متشابكي الذراعين
234	arms	זרועות	أذرع
235	army	צבא	جيش
236	around	מסביב	حول
237	around the world	מסביב לעולם	حول العالم
238	arrange	לסדר	يرتب
239	arrangement	סידור, הסדר	ترتيب
240	arrest (n, v)	מעצר, לעצור	إعتقال, يعتقل
241	arrival	הגעה	وصول
242	arrive (v)	להגיע	يصل
243	arrow	חץ	سهم
244	art (n)	אמנות	فن
245	article	מאמר	مقالة
246	article (n)	מאמר	مقالة
247	articles	מאמרים	مقالات
248	artist (n)	אמן	فنان
249	as	כמו	ك
250	as ... as	כמו ... כמו	مثل ... كما
251	as a matter of fact	למעשה	في الواقع
252	as a result (of)	כתוצאה (מ-)	نتيجة لذلك (ل-)
253	as a result of	כתוצאה מ-	نتيجة لـ
254	as easy as it sounds	קל כפי שזה נשמע	بسهولة كما يبدو
255	as far as I know	למיטב ידיעתי	بقدر ما أعرف
256	as good as new	כמו חדש	كالجديد
257	as high as	גבוה כמו	بقدر عالي
258	as long as	כל עוד, בתנאי ש-	طالما
259	as possible	כמה שאפשר	بأقصى وقت ممكن
260	as soon as	ברגע ש-	حالما
261	as usual	כמו שהוא רגיל	كما هو معتاد
262	as well	גם, בנוסף	أيضاً
263	as you know	כפי שאתם יודעים	كما تعلمون
264	Ashdod	אשדוד	أسدود
265	Ashkelon	אשקלון	عسقلان
266	Asia	אסיה	آسيا
267	ask (v)	לשאול, לבקש	يطلب, يسأل
268	asked	שאל	سأل
269	asks	שואל	يسأل
270	asleep	ישן	نائم
271	assignment	מטלה	مهمّة
272	assume	להניח	يفترض
273	astound (v)	להפתיע	يدهش, يذهل
274	astrology	אסטרולוגיה	تنجيم
275	astronaut (n)	אסטרונאוט	رائد فضاء
276	at	ב-	في
277	... at all	בכלל	إطلاقاً
278	at any point	בכל נקודה, בכל זמן	في أي نقطة
279	at first	בהתחלה	في البداية, أولاً
280	at least	לפחות	على الأقل
281	at night	בלילה	في الليل
282	at once	מיד, בבת אחת	فوراً
283	at present	בהווה	في الوقت الحالي
284	at the end	בסוף	في النهاية
285	at the moment	כעת	في اللحظة الحالية
286	ate (past tense of eat)	אכלתי, אכל	أكل, ماضي
287	Athens	אתונה	أثينا
288	athlete (n)	אתלט	رياضي
289	athletic competition	תחרות ספורט	مسابقة رياضية
290	athletics	אתלטיקה	رياضة
291	Atlantic Ocean	האוקיינוס האטלנטי	المحيط الأطلسي
292	attach	לצרף, להצמיד	يرفق
293	attached	מצורף	مرفق
294	attack (n, v)	התקפה, לתקוף	هجوم, يهاجم
295	attacker	תוקף	مهاجم
296	attempt (n, v)	ניסיון, לנסות	محاولة، يحاول
297	attention	תשומת לב	إنتباه
298	Attention!	שימו לב!	إنتباه!
299	attitude	גישה, יחס	موقف
300	attract	למשוך	يجذب
301	attractive	אטרקטיבי, מושך	جذاب
302	audience	קהל	جمهور
303	audition	אודישן	إختبار صلاحية الممثل للدور
304	August	אוגוסט	آب, أغسطس
305	aunt	דודה	عمة, خالة
306	Australia	אוסטרליה	أستراليا
307	Australian (adj)	אוסטרלי	أسترالي
308	author (n)	סופר	مؤلف, كاتب
309	autograph	חתימת שם, אוטוגרף	توقيع شخص مشهور
310	autographs	חתימות	توقيعات
311	automatic (adj)	אוטומטי	أوتوماتيكي
312	autumn (n)	סתיו	خريف
313	available	זמין	متاح, متوفر
314	average (adj)	ממוצע	متوسط, معدل
315	avocado (n)	אבוקדו	أفوكادو
316	avoid	להימנע מ-	يتجنب
317	awake (adj)	ער	صاح, يقظ
318	award	פרס	جائزة
319	aware	מודע	واعٍ
320	aware (of)	מודע ל-	على دراية بـ
321	away	רחוק, הרחק	بعيداً, يبتعد عن, مسافة من
322	awful	נורא, מגעיל	سيء, مقرف
323	baby (n)	תינוק	طفل رضيع
324	baby-sits	לשמור טפטופירי	يرعى الأطفال
325	babysit	לשמור טפטופירי	يرعى الأطفال
326	babysitter (n)	בייביסיטר	جليس الأطفال
327	back	חזרה, אחורנית	خلف, بالرجوع إلى الوراء
328	back to his old tricks	חזר לתעלוליו הישנות	عاد إلى حيله القديمة
329	backpack (n)	תיק גב	حقيبة ظهر
330	backward	אחורה	إلى الخلف
331	backwards	אחורה	للخلف
332	bacteria	חיידקים	جراثيم
333	bad (adj)	רע	سيء
334	bad for you	רע לך	سيء لصحتك
335	bad loser	מפסידן	خاسر لا يقبل بخسارته
336	bad things	דברים רעים	أشياء سيئة
337	badly (adv)	בצורה רעה	بشكل سيء, بصورة سيئة
338	bag (n)	תיק	حقيبة
339	Bahai Gardens	הגנים הבהאיים	حدائق البهائيين
340	Bahai Temple	מקדש בהאי	معبد البهائيين
341	bake (v)	לאפות	يخبز
342	baker (n)	אופה	خباز
343	bakes	אופה	يخبز
344	ball (n)	כדור	كرة
345	ballet (n)	בלט (ריקוד)	باليه (رقص)
346	balloon	בלון	بالون
347	ballroom (n)	אולם נשפים	قاعة الرقص
348	bamboo	במבוק	بامبو
349	banana (n)	בננה	موزة
350	band (n)	להקה	فرقة
351	bandage (n)	תחבושת	ضمادة
352	bang (n)	קול רעייקה, רעשה	صوت القرع
353	bang (v)	לדפוק, לנתוח	يطلق بقوة
354	bank (n)	בנק	بنك
355	bank manager	מנהל בנק	مدير بنك
356	banker (n)	בנקאי	مصرفي
357	bar	בר	بار, حانة
358	barbecue	מנגל	شواء, حفلة شواء
359	barbecue (n)	מנגל, על האש	شواء, منقل حفلة مشاوي
360	barefoot (adj)	יחף	حافي
361	bargain	מציאה	صفقة رابحة
362	bark (v)	לנבוח	ينبح
363	bars	בר, סורגים	بار, حانة, قضبان
364	bars (n)	סורגים	قضبان
365	base	בסיס, קרקע	أساس, قاعدة
366	base (n)	בסיס	قاعدة
367	baseball (n)	בייסבול, כדור בסיס	بايسبول, كرة القاعدة
368	based on	מבוסס על	بناءً على, يعتمد على
369	basic	בסיסי	أساسي
370	basket (n)	סלה	سلة
371	basketball (n)	כדורסל	كرة السلة
372	bat	מחבט / עטלף	مضرب / خفاش
373	bath	אמבטיה	حمام
374	bath (n)	אמבטיה	حمام
375	bathing suit (n)	בגד ים	لباس السباحة
376	bathroom (n)	חדר אמבטיה	حمام
377	battery	סוללה	بطارية
378	battery (n)	סוללה	بطارية
379	battle	קרב	معركة
380	Bauhaus	באוהאוס	باوهاوس
381	BBC	בי.בי.סי	بي بي سي (محطة تلفزيونية بريطانية)
382	be (v)	להיות	يكون
383	be a factor	להיות גורם	يكون عاملاً
384	be able to	מסוגל ל-	يستطيع, يقدر على
385	be careful	להיזהר	يحذر
386	be crazy about	להיות מטורף על	مجنون بشأن
387	be familiar with	להיות מוכר עם	يكون على دراية مع
388	be killed	להיהרג, להירצח	يُقتل
389	be late for	לאחר ל-	يتأخر عن
390	be located (in)	להיות ממוקם (ב-)	يقع في
391	be made of	עשוי מ-	مصنوع من
392	be off	לצאת, לעזוב	ينصرف, يغادر
393	be prepared	להיות מוכן	يكون مستعد
394	Be quiet!	שקט!	كن ساكتاً!
395	be related to	להיות קשור ל-	يكون متعلق بـ
396	be responsible for	להיות אחראי ל-	يكون مسؤولاً عن
397	be supposed to	אמור ל-	من المفروض أن
398	be sure of	להיות בטוח ב-	متأكّد من
399	be unable to	לא להיות מסוגל ל-	لا يستطيع
400	be well	להרגיש טוב, להיות בריא	يكون بصحة جيدة
401	be willing to	להיות מוכן ל-	يكون مستعداً ل
402	be worth it	להיות שווה את זה	يستحق
403	be wrong	לטעות	يكون مخطئاً
404	Be'er Sheva	באר שבע	بئر السبع
405	beach (n)	חוף הים	شاطئ البحر
406	bean	שעועית	فاصوليا
407	beans	שעועית	فاصوليا
408	bear (n)	דוב	دب
409	beat (v)	לנצח, להכות, לגבור על	يضرب, يهزم
410	beautiful (adj)	יפה מאוד	جميل, جميلة
411	beauty	יופי	جمال
412	beauty (n)	יופי	جمال
413	became (past tense of become)	nan	nan
414	because	כי, משום ש-	لأن
415	because (of)	בגלל (ש-), בי (בגלל)	لأن (بسبب)
416	become (v)	להפוך ל-	يصبح
417	become extinct	להכחד	ينقرض
418	bed (n)	מיטה	سرير, فراش
419	Bedouin	בדואי	بدوي
420	bedroom (n)	חדר שינה	غرفة نوم
421	bee	דבורה	نحلة
422	beer	בירה	بيرة
423	bees	דבורים	نحل
424	before	לפני	قبل
425	began (past tense of begin)	התחיל	بدأ
426	begin (v)	להתחיל	يبدأ
427	beginning (n)	התחלה	بداية
428	behave (v)	להתנהג	يتصرف, يسلك
429	behavior (n)	התנהגות	تصرفات
430	behind	מאחור, מאחורי	خلف, وراء
431	behind (his) back	מאחורי הגב (שלו)	من وراء ظهره
432	behind schedule	באיחור (לוח זמנים)	الإزاء (التأخير)
433	behind the scenes	מאחורי הקלעים	خلف الكواليس
434	behind the times	מיושן אחרי הזמן	متأخّر عن العصر
435	Beijing	בייג'ינג	بايجينغ, بكين
436	being	להיות	يكون
437	Beit Jann	בית ג'ן	بيت جن
438	Belgium	בלגיה	بلجيكا
439	belief	אמונה, דעה	إيمان, إعتقاد
440	believable	אמין, שניתן להאמין בו	قابل للتصديق
441	believe (v)	להאמין	يعتقد, يصدق
442	bell (n)	פעמון	جرس
443	belong to (v)	לשייך ל-	ينتمي إلى
444	below	מתחת	تحت
445	belt	חגורה	حزام
446	belt (n)	חגורה	حزام
447	belts	חגורות	أحزمة
448	bench	ספסל	مقعد
449	beneath	מתחת	تحت
450	benefit	תועלת	فائدة
451	Berlin	ברלין	برلين
452	beside	ליד	بجانب
453	best	הכי טוב	الأفضل
454	best (adj) (good)	הכי טוב	الأحسن, الأفضل
455	bestseller (n)	רב מכר	أكثر مبيعاً
456	bet	הימור	رهان
457	better (adj) (good)	יותר טוב	أفضل
458	between	בין	بين
459	beyond	מעבר ל-	ما وراء
463	bicycle (n)	אופניים	دراجة هوائية
464	bicycling	רכיבה על אופניים	ركوب الدراجة الهوائية
465	big (adj)	גדול	كبير
466	bigger (adj) (big)	יותר גדול	أكبر
467	biggest (adj) (big)	הכי גדול	الأكبر
468	bike (n)	אופניים	دراجة
469	bike park	פארק רכיבת אופניים	منتزه لركوب الدراجات الهوائية
470	bikes	אופניים	دراجات هوائية
471	bill	חשבון	فاتورة
472	billion	מיליארד	مليار
473	bin	פח אשפה	سلة نفايات
474	biologist	ביולוג	عالم أحياء
475	biology	ביולוגיה	علم الأحياء
476	bird (n)	ציפור	طائر, عصفور
477	birds	ציפורים	طيور
478	birthday (n)	יום הולדת	عيد ميلاد
479	birthdays	ימי הולדת	أعياد ميلاد
480	bite	לנשוך	يعضّ
481	black	שחור	أسود
482	blade of grass	עלה דשא	شفرة عشب
483	blame (for) (n)	אשמה (ב-)	لوم (على)
484	blame (v)	להאשים, לגנות, לבקר	يلوم, ينتقد على
485	blanket	שמיכה	بطانية
486	blanket (n)	שמיכה	بطانية
487	bleed	לדמם	ينزف
488	blend in with	להשתלב עם	يمتزج مع
489	blew (past tense of blow)	נשב	nan
490	blind	עיוור	أعمى
491	blind (adj)	עיוור	أعمى
492	block	בלוק, מחסום	كتلة, حاجز
493	blog (n)	בלוג, יומן באינטרנט	مدونة, مذكرة في الإنترنت
494	blond	בלונדיני	أشقر
495	blood	דם	دم
496	blow	לנפוח	ينفخ
497	blow (v)	לנשוב, לנפוח	ينفخ
498	blue	כחול	أزرق
499	board (n)	לוח	لوحة
500	boarding school	פנימייה	مدرسة داخلية
501	boarding student	תלמיד פנימיה	طالب داخلي
502	boat (n)	סירה	قارب, زورق
503	body	גוף	جسم
504	bold	נועז, מודגש	جريء, بالخط العريض
505	bold (adj)	מודגש	بالخط العريض
506	bone	עצם	عظم
507	book (n)	ספר	كتاب
508	book store	חנות ספרים	متجر كتب, مكتبة
509	booklet (n)	חוברת	كتيب, كراسة
510	books	ספרים	كتب
511	bookshelf (n)	מדף ספרים	رف الكتب
512	bookstore	חנות ספרים	مكتبة
513	boot (n)	מגף	حذاء, بوط
514	boots	מגפיים	أحذية
515	border	גבול	حدود
516	bored (adj)	משועמם	يشعر بالملل
517	boring (adj)	משעמם	ممل
518	born (v)	נולד	يولد
519	borrow	לשאול, לשאול	يستعير
520	borrow (v)	לשאול, לשאול	يقترض, يستعير
521	boss (n)	מנהל, בוס	مدير, مشغل
522	both	שניהם	كلاهما
523	both ... and	גם ... וגם	... و ...
524	bottle (n)	בקבוק	قنينة
525	bottle cap	פקק בקבוק	غطاء زجاجة
526	bottom	תחתית	قاع, أسفل
527	bottom (n)	תחתית	أسفل
528	bought (past tense of buy)	קנה	اشترى
529	bow (v)	להשתחוות	ينحني
530	bow and arrow	קשת וחץ	قوس ورمح, سهام
531	bowed	השתחווה	إنحنى
532	bowl (n)	קערה	وعاء
533	bowling (n)	באולינג	بولينج (لعبة)
534	box (n)	קופסה	صندوق
535	boy (n)	ילד	ولد
536	boyfriend	חבר	صديق, حبيب
537	boys	בנים	أولاد
538	brackets	סוגריים	أقواس
539	brackets (n)	סוגריים	أقواس
540	brain (n)	מוח	دماغ
541	brainstorm (v)	סיעור מוחין	يستثمر الفكر
542	branch (n)	ענף	فرع
543	brand	מותג	علامة تجارية
544	brand name	שם מותג	ماركة, علامة تجارية
545	brands	מותגים	ماركات, علامات تجارية
546	brave	אמיץ	شجاع
547	brave (adj)	אמיץ	شجاع
548	bravely (adv)	באומץ	بشجاعة
549	braver (adj) (brave)	יותר אמיץ	أشجع
550	bravery	אומץ	شجاعة
551	bravery (n)	אומץ	شجاعة
552	bravest (adj) (brave)	האמיץ	الأشجع
553	Brazil	ברזיל	البرازيل
554	bread (n)	לחם	خبز
555	break (n)	הפסקה	إستراحة
556	break a record	לשבור שיא	يحطم رقماً قياسياً
557	break away	לפרוץ, להיפרד מ-	ينفصل عن
558	break down	להתקלקל, להישבר	يتعطل
559	break in half	לשבור לשניים	ينكسر إلى نصفين
560	break into	לפרוץ ל-	يقتحم
561	break to bits	לשבור לרסיסים	ينكسر إلى أجزاء صغيرة
562	breakfast (n)	ארוחת בוקר	وجبة الفطور
563	breathe	לנשום	يتنفس
564	breathe (v)	לנשום	يتنفس
565	bridge (n)	גשר	جسر
566	bridge (n, v)	גשר, לגשר	جسر, يعبر
567	bright	בהיר, מנוגב	ساطع, لامع
568	bright (adj)	בהיר	مشرق, ساطع
569	brilliant	מבריק	رائع, ألمعي
570	brilliant (adj)	מבריק	رائع, ذكي
571	bring (v)	להביא	يحضر
572	bring back	להחזיר	يعيد
573	bring back (v)	להחזיר	يعيد
574	Britain	בריטניה	بريطانيا
575	British (adj)	בריטי	بريطاني
576	broadcast	שידור	بث
577	broccoli	ברוקולי	بروكلي
578	brochure (n)	חוברת	نشرة
579	broke (past tense of break)	שבר	كسر
580	broken (adj)	שבור	مكسور
581	bronze	ארד	برونز
582	brother (n)	אח	أخ
583	brought (past tense of bring)	הביא	أحضر
584	brown	חום	بني
585	brunch	ברנץ'	وجبة الإفطار والغداء معاً
586	brush	מברשת	فرشاة
587	brush teeth	לצחצח שיניים	يفرش الأسنان
588	bucket (n)	דלי	دلو
589	budget	תקציב	ميزانية
590	buffalo (n)	באפלו, תאו	جاموس
591	bug (n)	חרק	حشرة
592	build (v)	לבנות	يبني
593	builder (n)	בנאי	بناء
594	building (n)	בניין	مبنى, عمارة
595	built (past tense of build)	בנה	بنى
596	Bulgaria	בולגריה	بلغاريا
597	bully (n)	בריון	متنمر, مستقوي
598	bully (v)	להתעלל, לנהוג באלימות	يتنمر, يضايق
599	bump into	להיתקל ב-, להתנגש ב-	يصطدم ب
600	bungee jumping (n)	בנג'י	القفز بالحبال
601	burger (n)	המבורגר	برغر
602	burn (v)	לשרוף	يحرق
603	burned (adj)	שרוף	محترق, محروق
604	burning (adj)	בוער	مشتعل, محترق
605	bus (n)	אוטובוס	باص
606	bus stop	תחנת אוטובוס	موقف باصات
607	business	עסק	عمل تجاري
608	busy	עסוק	مشغول
609	but	אבל	لكن
610	butterfly	פרפר	فراشة
611	buy (v)	לקנות	يشتري
612	by	על ידי, מאת, עד	على الجانب, قبل
613	by accident	במקרה	بالصدفة
614	by bus	באוטובוס	بالحافلة
615	by chance	במקרה	بالصدفة
616	by mistake	בטעות	بالخطأ, سهواً
617	by plane	במטוס	بالطائرة
618	by SMS	בהודעת טקסט	برسالة إس إم إس مختصرة
619	by the millions	במיליונים	بالملايين
620	by the time	עד ש-, כבר, עד אז	بحلول, عندها
621	by the way	דרך אגב	على فكرة
622	bye	ביי	مع السلامة, وداعاً, باي
623	cabbage	כרוב	ملفوف
624	cabinet	ארון	خزانة
625	cable car	רכבל	عربة السلك
626	Caesarea	קיסריה	قيسارية
627	café	בית קפה	مقهى
628	cage (n)	כלוב	قفص
629	cake	עוגה	كعكة
630	cakes	עוגות	كعكات
631	calculate	לחשב	يحسب
632	calendar (n)	לוח שנה	رزنامة
633	California	קליפורניה	كاليفورنيا
634	call (for help)	לקרוא (לעזרה)	ينادي (للمساعدة)
635	call (v)	לקרוא, להתקשר	يتصل, يدعو
636	call out	לקרוא, להכריז	ينادي, يعلن
637	called	קראו, נקרא	يدعى, نادى
638	calm	רגוע	هادئ
639	calories (n)	קלוריות	سعرات حرارية
640	came (past tense of come)	בא	جاء
641	camel (n)	גמל	جمل
642	camera (n)	מצלמה	كاميرا
643	Cameroon	קמרון	الكاميرون
644	camouflage (n)	הסוואה	تمويه
645	camp (n)	מחנה	مخيم
646	camp (v)	לשהות בקמפינג	يخيم, يقيم مخيماً
647	camper (n)	מטייל	محتشد
648	campfire (n)	מדורה	نار المخيم
649	camping	קמפינג	تخييم
650	camping (n)	קמפינג	تخييم
651	campsite	אתר קמפינג	مكان التخييم
652	can	יכול, אפשר, מותר	يستطيع, يقدر, يسمح له
653	can (n)	פחית	علبة
654	can (of cola)	פחית (קולה)	علبة (كولا)
655	can afford	יכול להרשות לעצמו	يستطيع أن يتحمل
656	Can I help you?	האם אוכל לעזור לך?	هل أستطيع مساعدتك؟
657	can't	לא יכול	لا يستطيع، لا يتسنّى له
